"Belegdatum";"Buchungsdatum";"Belegnummernkreis";"Belegnummer";"Buchungstext";"Buchungsbetrag";"Sollkonto";"Habenkonto";"Steuerschlüssel";"Kostenstelle 1";"Kostenstelle 2";"Buchungsbetrag DM";"Buchungsbetrag Euro";"Währung"
26.04.2019;26.04.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9116040634 00 IHRE REF: NONREF IL600108640000083310031 AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: WEB3 LTD BSR 3 BILD, KINERT 5 5110000 BNEIBRAK IL IL600108640000083310031   INV NO 422 8  01/04/2019, NO 4229  0 1/04/2019, NO 4235  01/04/2019";48794,96;;1210;0;"";"";48794,96;48794,96;EUR;
26.04.2019;26.04.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9116036894 00 IHRE REF: NONREF AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: BIZZCLICK CORP. PMB 4-1136, CORAL WAY 1840 33145 MIAMI FL US 898096322713   INV NO 201 9-2077  03/01/2019, INV NO 201 9-2044  02/01/2019";19010,34;;1210;0;"";"";19010,34;19010,34;EUR;
26.04.2019;26.04.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9116038166 00 IHRE REF: NONREF AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: DECENTERADS PTE. LTD 160 ROBINSON ROAD 15-06 068914 SINGAPORE SG 64130060102   INV NO 120 190002  06/02/2019, INV NO 120 190068  04/03/2019";15955,80;;1210;0;"";"";15955,80;15955,80;EUR;
26.04.2019;26.04.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9116036924 00 IHRE REF: NONREF AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: REWARDLY INC. 1200 SUITE, MAIN ST 221 94016 SAN FRANCISCO, CA US 325105239082  SAAS FEE INV NO 1214-20184 DATE D 28/03/2019";949,33;;1210;0;"";"";949,33;949,33;EUR;
26.04.2019;26.04.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9116038200 00 IHRE REF: NONREF AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: NASMEDIA CO. LTD SAMILPLAZA4-5F, DOGOK-RO 1 GIL 06253 KANGNAM-GU, SEOUL KR 650008733974   INVOICE DA TED 31/01/2019, INVOICE  2 8/02/2019";899,37;;1210;0;"";"";899,37;899,37;EUR;
26.04.2019;26.04.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9116038181 00 IHRE REF: NONREF AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: SHANGYOUJIA TECHNOLOGY HK LIMITED FLAT/RM A 20/F,SHELL STR 9-23 518000 HONG KONG HK 819845520838   INV NO 201 902014  2019/02/11, INV NO 201 903038  2019/03/07";8771,69;;1210;0;"";"";8771,69;8771,69;EUR;
26.04.2019;26.04.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9116044855 00 IHRE REF: NONREF IE82BOFA99006154878215 AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: FACEBOOK IRELAND LIMITED GRAND CANAL SQUARE 4 DUBLIN IE IE82BOFA99006154878215  FACEBOOK SERVICES, BILLING MONTH MA RCH 2019";80051,23;;1210;0;"";"";80051,23;80051,23;EUR;
26.04.2019;26.04.2019;"";-;" AZCS9116040127 00  ADMIXER UA LLC 2/13ZH PYMONENKA STR., 2ND BUILD 3/UA/KYIV, 04050 26003572384    FB291217 DD 29.12.17,  PROVIDEESS TO TECHNICAL AND FUNCTIONAL CAPABILITIES OF SYSTEM";201659,18;1210;;0;"";"";201659,18;201659,18;EUR;
26.04.2019;26.04.2019;"";-;" AZCS9116002870 00 CH8780808004691951588  KOENIGSALLEE 98 DE-40212 DUESSELDORF  KANAWAI AG SIRNACHERSTRASSE 6 9552 BRONSCHHOFEN CH CH8780808004691951588  ADVERTISING SERVICE - MAI UND JUNI 2019 RFB 14336608284/1XXX";152,10;1210;;0;"";"";152,10;152,10;EUR;
29.04.2019;29.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";86,28;4970;1200;0;"";"";86,28;86,28;EUR;
29.04.2019;29.04.2019;"";-;"velia.net Internetdienste GmbH   Invoice No 98574";28529,81;;1200;0;"";"";28529,81;28529,81;EUR;
29.04.2019;29.04.2019;"";-;"MILLENIA MEDIA GROUP LLC  US 2  /RFB/261660252//DOUBLECLICK MEDIA C OST ";43767,51;1200;;0;"";"";43767,51;43767,51;EUR;
29.04.2019;29.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";59,22;4970;1200;0;"";"";59,22;59,22;EUR;
29.04.2019;29.04.2019;"";-;" AZCS9119062444 00 BY24ALFA30122722900030270000 INN HRB 81038LTD ADMIXER BY  BY24ALFA30122722900030270000  FOR ADVER TISING ON THE INTERNET CONTRACT 1/2 018 DT 02/01/2018.";49866,08;1210;;0;"";"";49866,08;49866,08;EUR;
29.04.2019;29.04.2019;"";-;" AZCS9116074239 00  KONGIGSALLE 98 DUSSELDORT DE  BUCKSENSE INC 120 BROADWAY 15TH FL NEW YORK 10028 US NY 483039091348  /RFB/194QD3021G5E2D76";33711,03;1210;;0;"";"";33711,03;33711,03;EUR;
30.04.2019;30.04.2019;"";-;"Kontoführung EUR ";39,90;4970;1200;0;"";"";39,90;39,90;EUR;
30.04.2019;30.04.2019;"";-;"Kontoführung USD ";10,50;4970;1200;0;"";"";10,50;10,50;EUR;
30.04.2019;30.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";271,48;4970;1200;0;"";"";271,48;271,48;EUR;
30.04.2019;30.04.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";15,00;4970;1200;0;"";"";15,00;15,00;EUR;
30.04.2019;30.04.2019;"";-;"  MILLENIA MEDIA GROUP LLC  US 2  /RFB/261846390//DOUBLECLICK EXPENSE ";65928,27;1200;;0;"";"";65928,27;65928,27;EUR;
30.04.2019;30.04.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9120034592 00 IHRE REF: NONREF AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: GOOGLE INC AMPHITHEATRE PKWY 1600 CA94043 MOUNTAIN VIEW US 4121100648   INV NO 356 5352099-1921.72, 3565659483-43822.3 0, 3565735648-14521.30, 3566691535- 930.31, 3564892114-38804.37";80051,23;;1210;0;"";"";80051,23;80051,23;EUR;
30.04.2019;30.04.2019;"";-;" AZCS9120055497 00  CITI US - USD ATTN:PIOTR MALECKI LUBICZ 17H KRAKOW POLANDL 31-503 30973575  INVOICE USD20190331-9";5341,57;1210;;0;"";"";5341,57;5341,57;EUR;
02.05.2019;02.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";113,03;4970;1200;0;"";"";113,03;113,03;EUR;
02.05.2019;02.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";133,24;4970;1200;0;"";"";133,24;133,24;EUR;
02.05.2019;02.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";15,00;4970;1200;0;"";"";15,00;15,00;EUR;
02.05.2019;02.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";15,00;4970;1200;0;"";"";15,00;15,00;EUR;
02.05.2019;02.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";136,29;4970;1200;0;"";"";136,29;136,29;EUR;
02.05.2019;02.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";15,00;4970;1200;0;"";"";15,00;15,00;EUR;
02.05.2019;02.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";132,71;4970;1200;0;"";"";132,71;132,71;EUR;
02.05.2019;02.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";43,66;4970;1200;0;"";"";43,66;43,66;EUR;
02.05.2019;02.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";15,00;4970;1200;0;"";"";15,00;15,00;EUR;
02.05.2019;02.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";19,24;4970;1200;0;"";"";19,24;19,24;EUR;
02.05.2019;02.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";15,00;4970;1200;0;"";"";15,00;15,00;EUR;
02.05.2019;02.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";104,52;4970;1200;0;"";"";104,52;104,52;EUR;
02.05.2019;02.05.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9122062774 00 IHRE REF: NONREF AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: LEASEWEB ASIA PACIFIC PTE LTD KEONG SAIK ROAD 18B 089125 SINGAPORE SG 0105153362  PAYMENT FOR SERVERS, INVOICE SG 2019.023491  01.05.2019, CUSTO MER NUMBER SG1810729744";2209,93;;1200;0;"";"";2209,93;2209,93;EUR;
02.05.2019;02.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";15,00;4970;1200;0;"";"";15,00;15,00;EUR;
02.05.2019;02.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";15,00;4970;1200;0;"";"";15,00;15,00;EUR;
02.05.2019;02.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";12,50;4970;1200;0;"";"";12,50;12,50;EUR;
02.05.2019;02.05.2019;"";-;"Bundesagentur für Arbeit-Service-Ha us EGZ fuer Shpakova, Maria 3803469073 7/2700032836769  38034690737 0502000477001";1440,00;1200;;0;"";"";1440,00;1440,00;EUR;
02.05.2019;02.05.2019;"";-;"FCM Finance Consult Mittelstand e. K. INVOICE DE20190501-1  CCB.121.UE.92502";952,00;;1200;0;"";"";952,00;952,00;EUR;
02.05.2019;02.05.2019;"";-;"LNN Service Handels UG GENODEM1MRL DE41426610085109969600 Invoice 190454  CCB.121.UE.69783";47,60;;1200;0;"";"";47,60;47,60;EUR;
02.05.2019;02.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";102,50;4970;1200;0;"";"";102,50;102,50;EUR;
02.05.2019;02.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";15,00;4970;1200;0;"";"";15,00;15,00;EUR;
02.05.2019;02.05.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9122058664 00 IHRE REF: NONREF IE07CITI99005111475051 AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: GOOGLE IRELAND LIMITED GORDONHOUSEBARROWSTR DUBLIN 4 IE IE07CITI99005111475051  DOUBLECLICK SERVICES,ORDING TO INV 3575023330 3575066424 357507254 6 3575074981 3575094167 3575102806 3575115114 3575115120 3575118237357";78228,15;;1210;0;"";"";78228,15;78228,15;EUR;
02.05.2019;02.05.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9122059949 00 IHRE REF: NONREF GB19HBUK40127674639917 AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: BIDSWITCH GMBH BAHNHOFSTR 28 CH-6304 ZUG CH GB19HBUK40127674639917  .ORDING TO INVOICE NO 801785  28.02.2019, NO 802010  31.03.2019";634,94;;1210;0;"";"";634,94;634,94;EUR;
02.05.2019;02.05.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9122059871 00 IHRE REF: NONREF IE82BOFA99006154878215 AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: FACEBOOK IRELAND LIMITED GRAND CANAL SQUARE 4 DUBLIN IE IE82BOFA99006154878215  FACEBOOK SERVICES, BILLING MONTH MA RCH 2019";66138,38;;1210;0;"";"";66138,38;66138,38;EUR;
02.05.2019;02.05.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9122061229 00 IHRE REF: NONREF EE470000009320056654 AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: WAARDEX OU VANA-VIRU 7 15097 TALLIN EE EE470000009320056654   INVOICES NO 677  28/02/2019";2248,70;;1210;0;"";"";2248,70;2248,70;EUR;
02.05.2019;02.05.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9122059885 00 IHRE REF: NONREF IE82BOFA99006154878215 AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: FACEBOOK IRELAND LIMITED GRAND CANAL SQUARE 4 DUBLIN IE IE82BOFA99006154878215  FACEBOOK SERVICES, BILLING MONTH MA RCH 2019";80051,23;;1210;0;"";"";80051,23;80051,23;EUR;
02.05.2019;02.05.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9122059635 00 IHRE REF: NONREF AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: CHEETAH MEDIALINK HK LIMITED CONNAUGHT ROAD CENTRAL 139 518000 HONG KONG CN 658085915838   INV NO CHE ETAH1903002  3/14/2019, NO CHE ETAH1904303  4/9/2019";4163,31;;1210;0;"";"";4163,31;4163,31;EUR;
02.05.2019;02.05.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9122059910 00 IHRE REF: NONREF AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: IMPACT TECH, INC. EAST DE LA GUERRA STR. 223 93101 SANTA BARBARA, CA US 3300649223  FLAT AND OVERAGE FEE INV NO 118 8366-6  15/03/2019, NO 1188366 5  02/03/2019, NO 1188366-8 D ATED 12.04.2019, NO 1188366-7";6028,49;;1210;0;"";"";6028,49;6028,49;EUR;
02.05.2019;02.05.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9122062498 00 IHRE REF: NONREF IL590125840000000119844 AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: MOBIMIGHT MEDIA LTD MASKIT ST. 9 4673309 HERTZLIYA PETUACH IL IL590125840000000119844   INV NO 01/ 001062  31/01/2019, NO 01/0011 42  01/03/2019, NO 01/001170  01/04/2019";10017,72;;1210;0;"";"";10017,72;10017,72;EUR;
02.05.2019;02.05.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9122061256 00 IHRE REF: NONREF CY13002001950000357012502619 AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: EPOM LTD NANCY WHITICKER HOUSE 7 00109-8000 ROSEAU DM CY13002001950000357012502619   INV NO INV 5348  01/03/2019";2290,44;;1210;0;"";"";2290,44;2290,44;EUR;
02.05.2019;02.05.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9122058684 00 IHRE REF: NONREF AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: GOOGLE INC AMPHITHEATRE PKWY 1600 CA94043 MOUNTAIN VIEW US 4121100648   INV NO 357 6261230 3576461567 3578757880 35788 03710 3578805413 3564892114";30520,34;;1210;0;"";"";30520,34;30520,34;EUR;
02.05.2019;02.05.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9122058672 00 IHRE REF: NONREF IE07CITI99005111475051 AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: GOOGLE IRELAND LIMITED GORDONHOUSEBARROWSTR DUBLIN 4 IE IE07CITI99005111475051  DOUBLECLICK SERVICES,ORDING TO INV 3575115120 3575118237 357511848 8 3565140394";77911,44;;1210;0;"";"";77911,44;77911,44;EUR;
02.05.2019;02.05.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9122061041 00 IHRE REF: NONREF AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: DCCO, LLC D/B/A THE MEDIA TRUST COM PANY PO BOX 8056 22106 MCLEAN, VIRGINIA US 1000015529968  . INVOICE NO ADXM1012  2/28/2019, NO ADX M1013  3/31/2019";3660,16;;1210;0;"";"";3660,16;3660,16;EUR;
02.05.2019;02.05.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9122062654 00 IHRE REF: NONREF ES4520381994592000006585 AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: AGILE ADVERTISEMENT, S.L. 449, AVENIDA DIAGONAL 7A 08036 BARCELONA ES ES4520381994592000006585  ADVERTISINA SERVICES INV NO 16  31/01/2019";834,06;;1210;0;"";"";834,06;834,06;EUR;
02.05.2019;02.05.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9122058680 00 IHRE REF: NONREF IE07CITI99005111475051 AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: GOOGLE IRELAND LIMITED GORDONHOUSEBARROWSTR DUBLIN 4 IE IE07CITI99005111475051  DOUBLECLICK SERVICES,ORDING TO INV 3575125785 3575166954 357518968 4 3575216978";24629,15;;1210;0;"";"";24629,15;24629,15;EUR;
02.05.2019;02.05.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9122061318 00 IHRE REF: NONREF PL26116022020000000318889485 AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: SPOLECZNOSCI SPOLKA Z OGRANICZONA O DPOWIEDZIALNOSCIA INZYNIERSKA UL. 8 03-422 WARSZAWA PL PL26116022020000000318889485   INV NO 17/ 01/2019/ZAG  31/01/2019, NO 14 /02/2019/ZAG  28/02/2019";118,08;;1210;0;"";"";118,08;118,08;EUR;
02.05.2019;02.05.2019;"";-;" AZCS9122007398 00  KONIGSALLEE 98 40212 DUSSELDORF  BIDSWITCH GMBH BAHNHOFSTRASSE 28 POSTFACH 7563 630 2 ZUG SWITZERLAND CH 40127674639917  /RFB/FROM BIDSWITCH GMBH /INV/USD20 190228-3 /RFB/RBH01059ARB493R5";340686,84;1210;;0;"";"";340686,84;340686,84;EUR;
02.05.2019;02.05.2019;"";-;" AZCS9122004905 00  ADMIXER LIMITED IMMERMANSTRASSE 7 DUSSELDORF, 40210, GERMANY  APPNEXUS, INC 28 W 23RD ST. 4TH FLOOR NEW YORK, NY 10010 3300866935  S006953";255,83;1210;;0;"";"";255,83;255,83;EUR;
03.05.2019;03.05.2019;"";-;"KRIMTAN BALGARIY Invoice 20190206-1  0503000726001";1000,00;1200;;0;"";"";1000,00;1000,00;EUR;
03.05.2019;03.05.2019;"";-;"LNN Service + Handel GmbH Erstattung Doppelzahlung  0503000412011";47,60;1200;;0;"";"";47,60;47,60;EUR;
03.05.2019;03.05.2019;"";-;" AZCS9123018316 00   EAST BAY ADS INC 2018 TSUSHIMA ST HERCULES CA 94547-5450 US 325102598975  /RFB/262430292//POP SERVICES";8721,44;1200;;0;"";"";8721,44;8721,44;EUR;
06.05.2019;06.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";136,99;4970;1200;0;"";"";136,99;136,99;EUR;
06.05.2019;06.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";271,48;4970;1200;0;"";"";271,48;271,48;EUR;
06.05.2019;06.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";271,48;4970;1200;0;"";"";271,48;271,48;EUR;
06.05.2019;06.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";136,99;4970;1200;0;"";"";136,99;136,99;EUR;
06.05.2019;06.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";15,00;4970;1200;0;"";"";15,00;15,00;EUR;
06.05.2019;06.05.2019;"";-;"ADXCLUSIVE B.V. EURO20190503-1 INV NO  0506000744001";20000,00;1200;;0;"";"";20000,00;20000,00;EUR;
06.05.2019;06.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";15,00;4970;1200;0;"";"";15,00;15,00;EUR;
06.05.2019;06.05.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9126036042 00 IHRE REF: NONREF IE82BOFA99006154878215 AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: FACEBOOK IRELAND LIMITED GRAND CANAL SQUARE 4 DUBLIN IE IE82BOFA99006154878215  FACEBOOK SERVICES, BILLING MONTH AP RIL 2019";80051,23;;1210;0;"";"";80051,23;80051,23;EUR;
06.05.2019;06.05.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9126034540 00 IHRE REF: NONREF AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: GOOGLE INC AMPHITHEATRE PKWY 1600 CA94043 MOUNTAIN VIEW US 4121100648   INV NO 356 4892114";80051,23;;1210;0;"";"";80051,23;80051,23;EUR;
06.05.2019;06.05.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9126036028 00 IHRE REF: NONREF IE82BOFA99006154878215 AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: FACEBOOK IRELAND LIMITED GRAND CANAL SQUARE 4 DUBLIN IE IE82BOFA99006154878215  FACEBOOK SERVICES, BILLING MONTH AP RIL 2019";80051,23;;1210;0;"";"";80051,23;80051,23;EUR;
06.05.2019;06.05.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9126034576 00 IHRE REF: NONREF AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: GOOGLE INC AMPHITHEATRE PKWY 1600 CA94043 MOUNTAIN VIEW US 4121100648   INV NO 356 4892114";80051,23;;1210;0;"";"";80051,23;80051,23;EUR;
06.05.2019;06.05.2019;"";-;" AZCS9126061092 00   WAPSTART INTERNATIONAL LLC 7417 HADDINGTON PL BETHESDA, MD, 20817, US 446000901145  /RFB/262722684//INV USD2019033114 P OP SERVICES";379,84;1210;;0;"";"";379,84;379,84;EUR;
06.05.2019;06.05.2019;"";-;" AZCS9126046577 00  DUSSELDORF  BIN141040026698 ADMIXER CENTRAL ASIA LLP 202 H 405 F PR DOSTYK ALMATY KAZAKHSTAN 050201.KZ826017131000039733  CONT.01/2017 DD 270617 INV. USD2019 0331-23 DATE 31032019 PAYMENT FOR A  FACEBOOK";57010,14;1210;;0;"";"";57010,14;57010,14;EUR;
06.05.2019;06.05.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9123057347 00 IHRE REF: NONREF AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: TKALICH ALEKSEY BLK 137 JALAN BUKIT MERA 04-1388 160137 SINGAPORE SG 102205545  PAYMENT FOR SERVICES INVOICE NO 30042019/1  30/04/2019";1360,87;;1210;0;"";"";1360,87;1360,87;EUR;
06.05.2019;06.05.2019;"";-;" AZCS9126002306 00  DUSSELDORF  BIN141040026698 ADMIXER CENTRAL ASIA LLP 202 H 405 F PR DOSTYK ALMATY KAZAKHSTAN 050201.KZ826017131000039733  CONT.01/2017 DD 270617 INV. USD2018 1231-22 DATE 31122018 USD20190228-2 1 DATE 28022019 PAYMENT FOR A ADVER TISING SERVICES FACEBOOK";253048,10;1210;;0;"";"";253048,10;253048,10;EUR;
07.05.2019;07.05.2019;"";-;"Examiner Consulting Llc INVOICE EURO20190502-1  62285288TW0 0507001228001";2000,00;1200;;0;"";"";2000,00;2000,00;EUR;
07.05.2019;07.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";102,50;4970;1200;0;"";"";102,50;102,50;EUR;
07.05.2019;07.05.2019;"";-;" AZCS9127062499 00  ADMIXER UA LLC  26003572384    FB291217 DD 2 9.12.17, PAYMENT FOR IT SERVICES TO PROVIDEESS TO TECHNICAL AND FUN CTIONAL CAPABILITIES OF THE SYSTEM";203387,90;1210;;0;"";"";203387,90;203387,90;EUR;
08.05.2019;08.05.2019;"";-;"ADXCLUSIVE B.V. EURO20190508 1 INVOICE NUMBER  0508000957001";30000,00;1200;;0;"";"";30000,00;30000,00;EUR;
08.05.2019;08.05.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9127067987 00 IHRE REF: NONREF AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: HONGTAI TRADE HONG KONG CO LTD YUEN STREET 29/F HO KING 16 FA RM 2914C MONGKOK KOWLOON HK 382537101336001  INVOICE NO 041";40142,56;;1200;0;"";"";40142,56;40142,56;EUR;
09.05.2019;09.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";16,92;4970;1200;0;"";"";16,92;16,92;EUR;
09.05.2019;09.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";136,38;4970;1200;0;"";"";136,38;136,38;EUR;
09.05.2019;09.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";30,58;4970;1200;0;"";"";30,58;30,58;EUR;
09.05.2019;09.05.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9128022028 00 IHRE REF: NONREF IL630310920000000339083 AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: BPD TECH ISRAEL DEVELOPMENT LTD HAGEULA 6 45101 HOD HASHARON IL IL630310920000000339083  DIGITECH DAY TO INVOICE NO 5002 43  30.04.2019";5015,00;;1200;0;"";"";5015,00;5015,00;EUR;
09.05.2019;09.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";15,00;4970;1200;0;"";"";15,00;15,00;EUR;
09.05.2019;09.05.2019;"";-;"ZAHLUNG IN DAS AUSLAND AZNA9128023593 00 IHRE REF: NONREF DK4730004777436740 AUFTRAGGEBER LT. AUFTRAG: BANK DES BEGUENSTIGTEN: BEGUENSTIGTER: ADFORM A/S SAL. 1, WILDERSGADE 10B DK1408 COPENHAGEN K DK DK4730004777436740  FOR ADFORM SERVICES TO INV NO 1 190016936  30/04/2019";207,04;;1200;0;"";"";207,04;207,04;EUR;
09.05.2019;09.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";26,70;4970;1200;0;"";"";26,70;26,70;EUR;
09.05.2019;09.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";136,38;4970;1200;0;"";"";136,38;136,38;EUR;
09.05.2019;09.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";15,00;4970;1200;0;"";"";15,00;15,00;EUR;
09.05.2019;09.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";18,10;4970;1200;0;"";"";18,10;18,10;EUR;
09.05.2019;09.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";15,00;4970;1200;0;"";"";15,00;15,00;EUR;
09.05.2019;09.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";22,25;4970;1200;0;"";"";22,25;22,25;EUR;
09.05.2019;09.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";15,00;4970;1200;0;"";"";15,00;15,00;EUR;
09.05.2019;09.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";15,00;4970;1200;0;"";"";15,00;15,00;EUR;
09.05.2019;09.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";15,00;4970;1200;0;"";"";15,00;15,00;EUR;
09.05.2019;09.05.2019;"";-;"ENTGELTE W/AUSLANDSZAHLUNG ";48,55;4970;1200;0;"";"";48,55;48,55;EUR;
